2025-03-26 17:30:39.4511 | INFO | Filtering hospitals with rating ≥ 4.5 and Open 24x7...
2025-03-26 17:30:39.4511 | INFO | Found 0 hospitals:
2025-03-26 17:37:55.1855 | INFO | Navigating to homepage...
2025-03-26 17:38:05.8370 | INFO | Scrolling through hospital results...
2025-03-26 17:38:19.4684 | INFO | Navigating to homepage...
2025-03-26 17:38:30.3700 | INFO | Scrolling through hospital results...
2025-03-26 17:38:41.4491 | INFO | Filtering hospitals with rating ≥ 4.5 and Open 24x7...
2025-03-26 17:38:41.4491 | INFO | Found 0 hospitals:
2025-03-26 17:38:53.1382 | INFO | Navigating to homepage...
2025-03-26 17:39:03.5149 | INFO | Scrolling through hospital results...
2025-03-26 17:39:09.6190 | INFO | Filtering hospitals with rating ≥ 4.5 and Open 24x7...
2025-03-26 17:39:09.6275 | INFO | Found 0 hospitals:
2025-03-26 17:45:04.1249 | INFO | Navigating to homepage...
2025-03-26 17:45:10.0943 | INFO | 🧹 Closing browser after scenario...
2025-03-26 17:47:59.1731 | INFO | Navigating to homepage...
2025-03-26 17:48:11.1519 | INFO | Scrolling through hospital results...
2025-03-26 17:48:17.2213 | INFO | Filtering hospitals with rating ≥ 4.5 and Open 24x7...
2025-03-26 17:48:17.2213 | INFO | Found 0 hospitals:
2025-03-26 17:48:17.2793 | ERROR | ❌ Test failed:   No matching hospitals were found.
Assert.That(hospitalResults.Count, Is.GreaterThan(0))
  Expected: greater than 0
  But was:  0

2025-03-26 17:48:17.2793 | INFO | 🧹 Closing browser after scenario...
2025-03-26 17:50:03.8013 | INFO | Navigating to homepage...
2025-03-26 17:50:16.9338 | INFO | Scrolling through hospital results...
2025-03-26 17:50:23.0126 | INFO | Filtering hospitals with rating ≥ 4.5 and Open 24x7...
2025-03-26 17:50:23.0126 | INFO | Found 0 hospitals:
2025-03-26 17:50:23.0524 | ERROR | ❌ Test failed:   No matching hospitals were found.
Assert.That(hospitalResults.Count, Is.GreaterThan(0))
  Expected: greater than 0
  But was:  0

2025-03-26 17:50:23.0524 | INFO | 🧹 Closing browser after scenario...
2025-03-26 18:06:17.7386 | INFO | Navigating to homepage...
2025-03-26 18:06:33.1403 | INFO | Scrolling through hospital results...
2025-03-26 18:06:39.2707 | INFO | Filtering hospitals with rating ≥ 4.5 and Open 24x7...
2025-03-26 18:06:39.2781 | INFO | Found 0 hospitals:
2025-03-26 18:06:39.3214 | ERROR | ❌ Test failed:   No matching hospitals were found.
Assert.That(hospitalResults.Count, Is.GreaterThan(0))
  Expected: greater than 0
  But was:  0

2025-03-26 18:06:39.3214 | INFO | 🧹 Closing browser after scenario...
2025-03-26 18:09:48.2612 | INFO | Navigating to homepage...
2025-03-26 18:10:01.9243 | INFO | Scrolling through hospital results...
2025-03-26 18:10:08.0202 | INFO | Filtering hospitals with rating ≥ 4.5 and Open 24x7...
2025-03-26 18:10:08.0291 | INFO | Found 0 hospitals:
2025-03-26 18:10:08.0683 | ERROR | ❌ Test failed:   No matching hospitals were found.
Assert.That(hospitalResults.Count, Is.GreaterThan(0))
  Expected: greater than 0
  But was:  0

2025-03-26 18:10:08.0683 | INFO | 🧹 Closing browser after scenario...
2025-03-26 18:20:31.5193 | INFO | Navigating to homepage...
2025-03-26 18:20:45.6652 | INFO | Scrolling through hospital results...
2025-03-26 18:20:51.7580 | INFO | Filtering hospitals with rating ≥ 4.5 and Open 24x7...
