Name,Rating,Open 24x7,Parking,Location
"Motherhood Hospital, Indiranagar, Bangalore: Practo",4.5,Yes,Yes,"324  Chinmaya Mission Hospital Road  Binnamangala  Hoysala Nagar Indira Nagar 1st Stage Landmark: Next Vijaya Bank Indiranagar  Bangalore"
"Chirag Global Hospitals, JP Nagar 2 Phase, Bangalore: Practo",4.5,Yes,Yes,"103  6th cross road  dollar layout  btm 2nd stage Landmark: Marenahalli JP Nagar 2 Phase  Bangalore"
"Motherhood Hospital, Whitefield, Bangalore: Practo",4.5,Yes,Yes,"34  Whitefield Main Rd  Next to Prestige Ozone Landmark: Next to Forum Value Mall Whitefield  Bangalore"
"Apollo Cradle & Children’s Hospital, Whitefield, Bangalore: Practo",4.5,Yes,Yes,"101/209 & 210  ITPL Main Road  Kundalahalli  Brookefield Landmark: Near AECS Layout Whitefield  Bangalore"
